Jurisdiction Name,Site Address/Intersection,5 Digit ZIP Code,Assessor Parcel Number,Consolidated Sites,General Plan Designation (Current),Zoning Designation (Current),Minimum Density Allowed (units/acre),Max Density Allowed (units/acre),Parcel Size (Acres),Existing Use/Vacancy,Infrastructure,Publicly-Owned,Site Status,Identified in Last/Last Two Planning Cycle(s),Lower Income Capacity,Moderate Income Capacity,Above Moderate Income Capacity,Total Capacity,Optional Information 1,Optional Information 2,Optional Information 3
MOUNTAIN VIEW,2630 CALIFORNIA ST,94040-1206,14815018,,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,1.05,"one-story retail (laundromat, convenince store, auto parts) - FAR: 0.193",Yes - current,No - Privately-Owned,Available,Used in Prior Housing Element - Non-Vacant - treat like new (rezoned since last cycle),63,0,0,63,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2633 CALIFORNIA ST,94040-1205,14815021,,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.40,one-story restaurant  - FAR: 0.099; Year Built: 1964,Yes - current,No - Privately-Owned,Available,Used in Prior Housing Element - Non-Vacant - treat like new (rezoned since last cycle),0,24,0,24,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,384 SAN ANTONIO RD,94040-1214,14815022,,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.98,one-story bank  - FAR: 0.252; Year Built: 1971,Yes - current,No - Privately-Owned,Available,Used in Prior Housing Element - Non-Vacant - treat like new (rezoned since last cycle),58,0,0,58,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2690 W EL CAMINO REAL,94040-1117,14816001,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,1.03,car wash  - FAR: 0.1; Year Built: 1962,Yes - current,No - Privately-Owned,Available,Used in Prior Housing Element - Non-Vacant - treat like new (rezoned since last cycle),62,0,0,62,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2674 W EL CAMINO REAL,94040-1117,14816004,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.26,one-story service building (associated with adjacent car wash); Year Built: 1955,Yes - current,No - Privately-Owned,Available,Used in Prior Housing Element - Non-Vacant - treat like new (rezoned since last cycle),0,15,0,15,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,FAYETTE DR,94040,14816013,,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.32,Parking lot (serving adjacent retail) - FAR: 0; Year Built: 1900,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,19,0,19,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,FAYETTE DR,94040,14816014,,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.15,Parking lot (serving adjacent retail) - FAR: 0,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,9,0,9,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,608 SAN ANTONIO RD,94040-1304,14816017,,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,1.03,one-story bank - FAR: 0.222; Year Built: 1970,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,61,0,0,61,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,100 SAN ANTONIO CL,94040-1210,14817001,,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.51,one-story glass retailer/service - FAR: 0.258; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,30,0,30,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2560 W EL CAMINO REAL,94040-1307,14821008,,Mixed-Use Center,P(40) - San Antonio Precise Plan,0,~65,0.75,one-story restaurant  - FAR: 0.175; Year Built: 1981,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,29,0,29,Opportunity Site (No rezoning),Maximum Density set by FAR (2.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,2320 W EL CAMINO REAL ,94040-1420,14836001,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.40,one-story vacant retail - FAR: 0.39; Year Built: 1969,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,24,0,24,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2124 W EL CAMINO REAL,94040-1612,14836027,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.74,one-story vacant retail  - FAR: 0.402; Year Built: 1960,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,43,0,43,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2116 W EL CAMINO REAL,94040-1612,14836028,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,1.00,one-story vacant retail  - FAR: 0.17,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,60,0,0,60,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2100 W EL CAMINO REAL,94040-1612,14836029,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.52,one-story vacant retail  - FAR: 0.176; Year Built: 1960,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,31,0,31,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,1398 W EL CAMINO REAL,94040-2404,15430015,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.53,"one-story six-unit commercial (beauty, computer service, vaping, fitness) - FAR: 0.282; Year Built: 1975",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,20,0,20,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,1288 W EL CAMINO REAL,94040-2402,15430044,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.96,gas station  - FAR: 0.059; Year Built: 1972,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,58,0,0,58,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,1905 LATHAM ST,94040-2107,15436007,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.74,"one-story retail (convenince, laundromat, restaurants) - FAR: 0.266",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,44,0,44,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,1962 W EL CAMINO REAL,94040-2002,15436012,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.80,one-story restaurant - FAR: 0.123; Year Built: 1971,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,48,0,48,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2080 W EL CAMINO REAL,94040-2104,15437006,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.45,self car wash  - FAR: 0.149; Year Built: 1968,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,27,0,27,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2090 W EL CAMINO REAL,94040-2104,15437007,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.56,one-story fountain store - FAR: 0.043; Year Built: 1958,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,33,0,33,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2098 W EL CAMINO REAL,94040-2104,15437008,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.45,one-story fast food - FAR: 0.1; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,26,0,26,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,615 S RENGSTORFF AV,94040-2105,15437009,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.60,"one-story four-unit commerical (convenience, resaurant, beauty, laundry)  - FAR: 0.207; Year Built: 1974",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,36,0,36,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2034 W EL CAMINO REAL,94040-2104,15437015,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.73,one-story mattress store - FAR: 0.221; Year Built: 1960,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,44,0,44,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2020 W EL CAMINO REAL,94040-2104,15437016,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.64,"one-story retail (restaurant, florist, vacuum store) - FAR: 0.077; Year Built: 1951",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,38,0,38,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2026 W EL CAMINO REAL,94040-2104,15437018,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.52,vacant one-story restaurant  - FAR: 0.172; Year Built: 1952,Yes - current,No - Privately-Owned,Available,Used in Prior Housing Element - Non-Vacant - treat like new (rezoned since last cycle),0,31,0,31,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,200 W EL CAMINO REAL,94040-2606,15805112,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.45,one-story fast food - FAR: 0.131; Year Built: 1969,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,17,0,17,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,286 W EL CAMINO REAL,94040-2606,15805113,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.43,one-story restaurant - FAR: 0.146; Year Built: 1980,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,16,0,16,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,500 W EL CAMINO REAL,94040,15806001,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.11,oil-changer ,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,4,0,4,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,500 W EL CAMINO REAL,,15806002,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.10,oil-changer - FAR: 0.598,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,3,0,3,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,500 W EL CAMINO REAL,94040-2602,15806003,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.11,oil-changer ,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,4,0,4,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,624  WEL CAMINO REAL,94040-2508,15806006,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.28,one-story vacant car service building  - FAR: 0.159; Year Built: 1958,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,10,0,10,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,S OAK ST,94041,15807007,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.10,Parking Lot for medical office at 1128 W El Camino Real - FAR: 0; Year Built: 1900,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,6,0,6,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,1128 W EL CAMINO REAL,94040-2518,15807025,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.42,one-story medical office - FAR: 0.285; Year Built: 1945,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,25,0,25,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,1134 W EL CAMINO REAL,94040-2518,15807026,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.64,two-story offices - FAR: 0.154,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,38,0,38,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,785 CASTRO ST,94041-2013,15809009,,Downtown Mixed-Use,P(19) - Downtown Precise Plan,0,50,0.28,one-story offices - FAR: 0.301; Year Built: 1970,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,6,0,6,Opportunity Site (No rezoning),,
MOUNTAIN VIEW,495 MOFFETT BL,94043-4727,15849002,,Mixed-Use Corridor,CRA,0,43,0.96,gas station  - FAR: 0.04,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,34,0,34,Opportunity Site (No rezoning),,
MOUNTAIN VIEW,282 E MIDDLEFIELD RD,94043-3910,16026007,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~45,1.19,vacant,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,44,0,44,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,N WHISMAN RD,94043,16028003,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~45,0.50,Parking lot for fast food at 209 W Middlefield Road - FAR: 0,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,18,0,18,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,209 E MIDDLEFIELD RD,94043-3909,16028004,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~45,0.55,one-story fast food - FAR: 0.161; Year Built: 1984,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,20,0,20,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,295 E MIDDLEFIELD RD,94043-3909,16028005,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~45,0.45,one-story restaurant/deli - FAR: 0.087; Year Built: 1980,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,17,0,17,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,295 E MIDDLEFIELD RD,,16028006,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~45,0.13,one-story restaurant/deli ,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,4,0,4,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,325 E MIDDLEFIELD RD,94043,16052010,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,2.05,one-story light industrial - FAR: 0.373; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,150,10,0,160,Opportunity Site (No rezoning),Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,335 E MIDDLEFIELD RD,94043-4028,16052011,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,0.93,one-story light industrial - FAR: 0.357; Year Built: 1982,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,72,0,0,72,Opportunity Site (No rezoning),Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,345 E MIDDLEFIELD RD,94043-4067,16052012,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,1.07,one-story light industrial - FAR: 0.339; Year Built: 1959,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,84,0,0,84,Opportunity Site (No rezoning),Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,460 E MIDDLEFIELD RD,94043-4032,16053005,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,147 - 169,1.27,one-story service agency office - FAR: 0.333; Year Built: 1977,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,139,0,0,139,Opportunity Site (No rezoning),Maximum Density set by FAR (3.5). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,450 E MIDDLEFIELD RD,94043-4006,16053006,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,147 - 169,1.00,one-story light industrial - FAR: 0.307,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,110,0,0,110,Opportunity Site (No rezoning),Maximum Density set by FAR (3.5). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,475 ELLIS ST,94043-2203,16058011,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,4.49,one-story light industrial - FAR: 0.335; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,150,150,52,352,Opportunity Site (No rezoning),Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,815 MAUDE AV,94043-4021,16059001,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,0.93,one-story church office - FAR: 0.21; Year Built: 1962,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,72,0,0,72,Opportunity Site (No rezoning),Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,835 MAUDE AV,94043-4021,16059002,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,0.90,one-story light industrial office  - FAR: 0.381,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,70,0,0,70,Opportunity Site (No rezoning),Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,855 MAUDE AV,94043-4021,16059003,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,0.97,one-story light industrial office  - FAR: 0.369; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,76,0,0,76,Opportunity Site (No rezoning),Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,875 MAUDE AV,94043-4021,16059004,,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,0.96,one-story light industrial office  - FAR: 0.39; Year Built: 1963,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,74,0,0,74,Opportunity Site (No rezoning),Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,820 E EL CAMINO REAL,94040-2836,16110003,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,1.37,"one story four-unit commerical (restarant, beauty salon, chiropractors)  - FAR: 0.235; Year Built: 1971",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,82,0,0,82,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,1953 W EL CAMINO REAL,94040-2262,17005016,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.46,one-story deli - FAR: 0.084; Year Built: 1970,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,27,0,27,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2065 W EL CAMINO REAL,94040,17005026,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,1.32,one-story day care center - FAR: 0.248; Year Built: 1980,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,80,0,0,80,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,1010 EL MONTE AV,94040-2321,17007067,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.31,gas station  - FAR: 0.074,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,12,0,12,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,810 MIRAMONTE AV,94040-2514,18902024,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.32,one-story auto repair - FAR: 0.081; Year Built: 1963,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,19,0,19,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
