permyear,apn,address,projname,hcategory,tenure,vlowdr,lowdr,amodtot,totalunit,geometry,vlowtot,lowtot,hsngsite
2021,189-04-107,"1448  Brookdale Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.0901 37.37781),,,
2021,158-05-101,"752  Calderon Av, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.076551 37.384618),,,
2021,158-32-006,"539  Mccarty Av A, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.069902 37.385654),,,
2021,158-30-024,"423  Loreto St, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.076192 37.389906),,,
2021,147-42-219,"115  Fair Oaks St, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.098534 37.402785),,,
2021,2019-3238,"2342  Perich Ct, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.072664 37.370586),,,
2021,150-22-034,"1092  Washington St, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.082746 37.398608),,,
2021,197-21-034,"277  Apricot Ln, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.076266 37.362158),,,
2021,189-32-034,"1367  Park Dr, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.090615 37.387851),,,
2021,158-13-013,"280  Franklin St, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.081939 37.393724),,,
2021,197-40-027,"2006  Sun-Mor Av A, Mountain View, CA",,Accessory Dwelling Unit,Renter,0,0,0,0,POINT (-122.070321 37.373823),,,
2019,16-061-026-,"320  Circuit Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.053492 37.39112),,,
2019,14-754-030-,"2242  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101731 37.40308),,,
2020,18-905-145-,"830  Sladky Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.088298 37.374211),,,
2019,16-061-026-,"312  Circuit Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.053604 37.391056),,,
2019,14-754-030-,"2287  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102477 37.403021),,,
2019,16-061-026-,"308  Circuit Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.053657 37.391023),,,
2019,16-061-026-,"3856  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.05518 37.391554),,,
2019,16-061-026-,"3882  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.0556 37.39197),,,
2019,15-002-006-,"300  Cherokee Lp, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.092981 37.40813),,,
2019,14-754-030-,"2260  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101901 37.403373),,,
2019,15-002-006-,"303  Cherokee Lp, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.092741 37.407956),,,
2019,14-754-030-,"2256  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.10181 37.403423),,,
2019,16-061-026-,"3876  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.05547 37.391845),,,
2020,15-430-018-,"665  Palo Alto Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.088974 37.390421),,,
2019,14-754-030-,"2246  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101684 37.403166),,,
2019,16-061-026-,"300  Circuit Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.053764 37.390955),,,
2019,15-002-006-,"314  Cherokee Lp, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.093166 37.407809),,,
2019,15-809-053-,"793  View St, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.080626 37.386096),,,
2019,16-016-044-,"214  Athena Ct, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.060524 37.401038),,,
2019,14-754-030-,"2248  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101651 37.403205),,,
2019,14-754-030-,"2233  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101653 37.402723),,,
2019,15-002-006-,"306  Cherokee Lp, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.093109 37.408003),,,
2019,16-061-026-,"3858  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.055226 37.391593),,,
2019,15-309-017-,"1911  Stella St, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.087851 37.410646),,,
2019,15-002-006-,"301  Cherokee Lp, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.092722 37.408026),,,
2020,19-738-022-,"2141  Woodleaf Wy, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.076087 37.372789),,,
2019,14-754-030-,"2268  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101985 37.403176),,,
2019,16-061-026-,"3850  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.055051 37.391426),,,
2019,14-754-030-,"2281  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102292 37.40297),,,
2019,15-424-041-,"523  Mariposa Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.090306 37.393223),,,
2020,19-711-065-,"1122  Bruckner Cl, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.069887 37.359818),,,
2019,16-061-026-,"3878  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.055512 37.391888),,,
2019,15-002-006-,"312  Cherokee Lp, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.093112 37.407852),,,
2019,14-754-030-,"2254  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101592 37.403335),,,
2019,16-061-026-,"3880  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.055554 37.39193),,,
2019,15-410-035-,"1587  Villa St, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.087835 37.397166),,,
2019,14-754-030-,"2229  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.10141 37.402637),,,
2020,19-737-031-,"2155  Carol Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.074627 37.371863),,,
2019,15-002-006-,"305  Cherokee Lp, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.092783 37.407912),,,
2020,15-425-071-,"545  Mountain View Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.087004 37.391604),,,
2019,14-754-030-,"2284  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102199 37.403285),,,
2019,14-754-030-,"2278  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102109 37.403423),,,
2019,14-754-030-,"193  Lariat Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102513 37.403073),,,
2019,14-754-030-,"2252  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101627 37.403303),,,
2019,19-736-065-,"595  Sleeper Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.072533 37.3714),,,
2019,14-754-030-,"2269  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102192 37.402915),,,
2019,16-061-026-,"3854  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.055138 37.391511),,,
2020,15-408-012-,"339  Pettis Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.087491 37.394889),,,
2019,14-754-030-,"2272  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102026 37.403562),,,
2019,16-061-026-,"3872  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.05539 37.391758),,,
2019,14-754-030-,"2283  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102353 37.402994),,,
2019,15-002-006-,"309  Cherokee Lp, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.092864 37.407832),,,
2019,14-754-030-,"107  Ortega Av, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102759 37.403057),,,
2019,16-061-026-,"3860  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.055269 37.391637),,,
2019,14-754-030-,"2262  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101906 37.403305),,,
2019,14-754-030-,"2266  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101965 37.403221),,,
2019,14-754-030-,"2264  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101961 37.403283),,,
2019,15-309-017-,"649  Sierra Vista Av, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.088668 37.411238),,,
2019,14-754-030-,"2267  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102132 37.402891),,,
2019,14-754-030-,"2295  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102717 37.403156),,,
2019,15-813-012-,"260  Franklin St, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.081985 37.394073),,,
2019,14-754-030-,"105  Ortega Av, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102746 37.40311),,,
2019,16-061-026-,"3852  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.055096 37.391469),,,
2019,14-754-030-,"2227  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101311 37.402596),,,
2019,14-754-030-,"2282  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102167 37.40333),,,
2019,16-061-026-,"304  Circuit Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.05371 37.39099),,,
2019,14-754-030-,"2244  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101709 37.403116),,,
2019,14-754-030-,"130  Lariat Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101609 37.402668),,,
2019,16-016-044-,"190  Athena Ct, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.061531 37.4013),,,
2019,15-002-006-,"2035  San Luis Av, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.092642 37.408207),,,
2019,15-002-006-,"308  Cherokee Lp, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.093064 37.407906),,,
2020,19-741-020-,"285  Carmelita Dr, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.073404 37.375952),,,
2019,14-754-030-,"2285  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102413 37.403018),,,
2019,14-754-030-,"2274  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102052 37.403515),,,
2019,16-061-026-,"316  Circuit Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.053547 37.391086),,,
2019,15-002-006-,"2075  San Luis Av, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.093025 37.408351),,,
2019,16-061-026-,"3884  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.055643 37.392013),,,
2019,14-754-030-,"2276  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102084 37.40347),,,
2020,15-320-018-,"751  San Lucas Av, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.071387 37.403966),,,
2019,16-061-026-,"3874  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.055428 37.391803),,,
2019,14-754-030-,"2280  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102141 37.403378),,,
2019,16-061-026-,"3870  Domain Wy, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.055341 37.391718),,,
2019,14-754-030-,"2265  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.102066 37.402875),,,
2019,15-002-006-,"307  Cherokee Lp, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.092809 37.407874),,,
2019,14-754-030-,"2258  Mora Pl, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.101834 37.403386),,,
2019,15-002-006-,"2055  San Luis Av, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.092857 37.408287),,,
2020,15-320-009-,"832  San Lucas Ct, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.071931 37.403925),,,
2019,16-016-044-,"216  Athena Ct, Mountain View, CA",,Single-Family Attached Unit,Owner,0,0,0,0,POINT (-122.060486 37.401129),,,
2020,19-710-040-,"3466  Woodstock Ln, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.072929 37.359535),,,
2020,17-009-087-,"1115  Solana Dr, Mountain View, CA",,Accessory Dwelling Unit,Owner,0,0,0,0,POINT (-122.102662 37.390714),,,
2019,16-061-026-,"3820  Pyramid Wy, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.056472 37.392862),,,
2019,14-754-030-,"2217  Mora Pl, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.10086 37.402482),,,
2019,16-061-026-,"3816  Pyramid Wy, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.056331 37.392723),,,
2019,16-016-044-,"219  Athena Ct, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.060436 37.400682),,,
2019,16-061-026-,"3712  Pyramid Wy, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.056389 37.392478),,,
2019,16-061-026-,"3714  Pyramid Wy, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.056454 37.392543),,,
2019,16-061-026-,"3720  Pyramid Wy, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.056664 37.392752),,,
2019,16-061-026-,"3818  Pyramid Wy, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.056396 37.392788),,,
2019,16-061-026-,"3812  Pyramid Wy, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.056201 37.392594),,,
2019,16-061-026-,"3716  Pyramid Wy, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.056519 37.392607),,,
2019,16-061-026-,"3800  Pyramid Wy, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.055852 37.392246),,,
2019,16-061-026-,"3814  Pyramid Wy, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.056266 37.392659),,,
2019,14-754-030-,"2221  Mora Pl, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.101048 37.402492),,,
2019,16-016-044-,"203  Athena Ct, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.061155 37.400811),,,
2019,16-016-044-,"212  Athena Ct, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.060779 37.401181),,,
2019,16-061-026-,"3806  Pyramid Wy, Mountain View, CA",,Single-Family Detached Unit,Owner,0,0,0,0,POINT (-122.055992 37.392386),,,
